policy,grid_i,grid_j,bias_p1,bias_p2,p_stage0,p_stage1,p_stage2,p_mixed,modal_outcome,outcome_entropy,n_replicates,final_horizon,stable_fraction,mean_first_dominance_time
epsilon_greedy,0,0,-2.0,-2.0,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,346.5625
epsilon_greedy,0,1,-2.0,-1.9183673469387754,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,2,-2.0,-1.836734693877551,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,3,-2.0,-1.7551020408163265,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,4,-2.0,-1.6734693877551021,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,5,-2.0,-1.5918367346938775,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,6,-2.0,-1.510204081632653,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,7,-2.0,-1.4285714285714286,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,8,-2.0,-1.3469387755102042,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,9,-2.0,-1.2653061224489797,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,10,-2.0,-1.183673469387755,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,11,-2.0,-1.1020408163265307,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,12,-2.0,-1.0204081632653061,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,13,-2.0,-0.9387755102040818,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,14,-2.0,-0.8571428571428572,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,15,-2.0,-0.7755102040816328,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,16,-2.0,-0.6938775510204083,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,17,-2.0,-0.6122448979591837,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,18,-2.0,-0.5306122448979593,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,19,-2.0,-0.44897959183673475,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,20,-2.0,-0.3673469387755104,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,21,-2.0,-0.2857142857142858,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,22,-2.0,-0.20408163265306145,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,23,-2.0,-0.12244897959183687,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,24,-2.0,-0.04081632653061229,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,0,25,-2.0,0.04081632653061229,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
