Policy,Player,Stage,Mean final location,Median final location,Mean final scale,Mean action count
Epsilon-Greedy,1,0,2.0009639813032147,2.00008400806477,0.0,499634.31875
Epsilon-Greedy,1,1,1.3908331206373497,1.0842696629213489,0.0,345.00375
Epsilon-Greedy,1,2,1.3045218187977332,1.0,0.0,20.6775
Epsilon-Greedy,2,0,2.002083792958721,2.0001650075965047,0.0,499820.94
Epsilon-Greedy,2,1,1.2379481734067161,1.0,0.0,138.56625
Epsilon-Greedy,2,2,1.4636111070626099,1.3333333333333333,0.0,40.49375
Thompson Sampling,1,0,2.0260596081765683,2.0019689883865417,8.098741932347015e-06,495186.223875
Thompson Sampling,1,1,1.4785445501993948,1.4261909429523627,0.0207481773969206,2690.576
Thompson Sampling,1,2,1.3412349690787992,1.3062118017084243,0.03092433791470844,2123.200125
Thompson Sampling,2,0,2.0227608294378947,2.0016927718732296,8.114187803615242e-06,494675.8652
Thompson Sampling,2,1,1.4426315861515566,1.4241123683183772,0.02316442463340288,3199.9245
Thompson Sampling,2,2,1.3345730735217003,1.2412801175118502,0.03142445644207395,2124.2103
Repaired Anytime Exp3,1,0,0.9999999999999858,0.9999999999999998,0.9916005375332883,493008.358625
Repaired Anytime Exp3,1,1,1.4024973670278483e-14,3.277687292315111e-16,0.004199731233362583,3758.355275
Repaired Anytime Exp3,1,2,3.853763924195915e-16,7.045691438085657e-18,0.004199731233349113,3233.2861
Repaired Anytime Exp3,2,0,0.9999999999995174,0.9999999999999998,0.991600537532826,492980.0941
Repaired Anytime Exp3,2,1,4.816591611945295e-13,1.6288606794670638e-16,0.0041997312338243244,3827.96025
Repaired Anytime Exp3,2,2,1.0069014231243735e-15,3.2453312932615185e-18,0.0041997312333497275,3191.94565
