policy,grid_i,grid_j,stage_k,fraction_estimated_contrast_positive,median_estimated_contrast,fraction_discrepancy_nonnegative,median_global_contrast,median_discrepancy
epsilon_greedy,0,0,1,1.0,1.0000390007380793,0.625,0.99997,5.40007380789298e-05
epsilon_greedy,0,0,2,0.78125,0.25001200021001846,0.5625,0.25001625000000005,2.5029699501910585e-07
epsilon_greedy,0,1,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,1,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,2,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,2,2,0.75,0.2500097501935202,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,3,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,3,2,0.75,0.2500097501935202,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,4,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,4,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,5,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,5,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,6,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,6,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,7,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,7,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,8,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,8,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,9,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,9,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,10,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,10,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,11,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
